% CIE color matching functions for CIE1976 primaries and equal energy white
%
% source http://www.cis.rit.edu/research/mcsl2/research/broadbent/CIE1931_RGB.pdf
% source http://www.cis.rit.edu/research/mcsl2/research/broadbent/CIE1931_RGB.xls (Table 18)
%
380e-9 0.00003 -0.00001    0.00117
385e-9 0.00005 -0.00002    0.00189
390e-9 0.00010 -0.00004    0.00359
395e-9 0.00017 -0.00007    0.00647
400e-9 0.00030 -0.00014    0.01214
405e-9 0.00047 -0.00022    0.01969
410e-9 0.00084 -0.00041    0.03707
415e-9 0.00139 -0.00070    0.06637
420e-9 0.00211 -0.00110    0.11541
425e-9 0.00266 -0.00143    0.18575
430e-9 0.00218 -0.00119    0.24769
435e-9 0.00036 -0.00021    0.29012
440e-9 -0.00261    0.00149 0.31228
445e-9 -0.00673    0.00379 0.31860
450e-9 -0.01213    0.00678 0.31670
455e-9 -0.01874    0.01046 0.31166
460e-9 -0.02608    0.01485 0.29821
465e-9 -0.03324    0.01977 0.27295
470e-9 -0.03933    0.02538 0.22991
475e-9 -0.04471    0.03183 0.18592
480e-9 -0.04939    0.03914 0.14494
485e-9 -0.05364    0.04713 0.10968
490e-9 -0.05814    0.05689 0.08257
495e-9 -0.06414    0.06948 0.06246
500e-9 -0.07137    0.08536 0.04776
505e-9 -0.08120    0.10593 0.03688
510e-9 -0.08901    0.12860 0.02698
515e-9 -0.09356    0.15262 0.01842
520e-9 -0.09264    0.17468 0.01221
525e-9 -0.08473    0.19113 0.00830
530e-9 -0.07101    0.20317 0.00549
535e-9 -0.05316    0.21083 0.00320
540e-9 -0.03152    0.21466 0.00146
545e-9 -0.00613    0.21487 0.00023
550e-9 0.02279 0.21178 -0.00058
555e-9 0.05514 0.20588 -0.00105
560e-9 0.09060 0.19702 -0.00130
565e-9 0.12840 0.18522 -0.00138
570e-9 0.16768 0.17087 -0.00135
575e-9 0.20715 0.15429 -0.00123
580e-9 0.24562 0.13610 -0.00108
585e-9 0.27989 0.11686 -0.00093
590e-9 0.30928 0.09754 -0.00079
595e-9 0.33184 0.07909 -0.00063
600e-9 0.34429 0.06246 -0.00049
605e-9 0.34756 0.04776 -0.00038
610e-9 0.33971 0.03557 -0.00030
615e-9 0.32265 0.02583 -0.00022
620e-9 0.29708 0.01828 -0.00015
625e-9 0.26348 0.01253 -0.00011
630e-9 0.22677 0.00833 -0.00008
635e-9 0.19233 0.00537 -0.00005
640e-9 0.15968 0.00334 -0.00003
645e-9 0.12905 0.00199 -0.00002
650e-9 0.10167 0.00116 -0.00001
655e-9 0.07857 0.00066 -0.00001
660e-9 0.05932 0.00037 0.00000
665e-9 0.04366 0.00021 0.00000
670e-9 0.03149 0.00011 0.00000
675e-9 0.02294 0.00006 0.00000
680e-9 0.01687 0.00003 0.00000
685e-9 0.01187 0.00001 0.00000
690e-9 0.00819 0.00000 0.00000
695e-9 0.00572 0.00000 0.00000
700e-9 0.00410 0.00000 0.00000
705e-9 0.00291 0.00000 0.00000
710e-9 0.00210 0.00000 0.00000
715e-9 0.00148 0.00000 0.00000
720e-9 0.00105 0.00000 0.00000
725e-9 0.00074 0.00000 0.00000
730e-9 0.00052 0.00000 0.00000
735e-9 0.00036 0.00000 0.00000
740e-9 0.00025 0.00000 0.00000
745e-9 0.00017 0.00000 0.00000
750e-9 0.00012 0.00000 0.00000
755e-9 0.00008 0.00000 0.00000
760e-9 0.00006 0.00000 0.00000
765e-9 0.00004 0.00000 0.00000
770e-9 0.00003 0.00000 0.00000
775e-9 0.00001 0.00000 0.00000
780e-9 0.00000 0.00000 0.00000
